experiment_group,workflow_version,priority,rule_name,image_name,user_role,company_size,industry,cloud_provider,plan_type,total_alert_views,total_investigations,total_remediations,investigation_rate,remediation_rate,avg_time_to_investigate_minutes
control,old_page,WARNING,Delete or rename shell history,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,3,1,1,0.33333333333333331,0.33333333333333331,28
control,old_page,ERROR,Write below rpm database,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Delete Bash History,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,2,1,1,0.5,0.5,49
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,2,1,0,0.5,0,17
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,2,2,1,1,0.5,23
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,93
control,old_page,ERROR,Write below etc,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,2,1,1,0.5,0.5,57
control,old_page,ERROR,Write below etc,falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,115
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,75
control,old_page,WARNING,Netcat Remote Code Execution in Container,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,94
control,old_page,WARNING,Linux Kernel Module Injection Detected,falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,1
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,1,1,0,1,0,54
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Write below monitored dir,falcosecurity/event-generator,platform_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,111
control,old_page,ERROR,Read ssh information,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,2,1,1,0.5,0.5,72
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,0,1,0,95
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,enterprise,fintech,aws,enterprise,1,1,0,1,0,66
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,enterprise,fintech,aws,enterprise,2,1,1,0.5,0.5,120
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,security_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,91
control,old_page,WARNING,Delete or rename shell history,busybox:latest,security_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,79
control,old_page,WARNING,Read Shell Configuration File,falcosecurity/event-generator,security_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,security_engineer,enterprise,fintech,aws,enterprise,1,1,1,1,1,1
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,falcosecurity/event-generator,security_engineer,enterprise,fintech,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,security_engineer,enterprise,fintech,aws,enterprise,2,1,0,0.5,0,10
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,devops_engineer,medium,health,aws,free,2,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,devops_engineer,medium,health,aws,free,2,1,0,0.5,0,99
control,old_page,ERROR,Read ssh information,busybox:latest,devops_engineer,medium,health,aws,free,2,2,1,1,0.5,23
control,old_page,ERROR,Write below binary dir,busybox:latest,devops_engineer,medium,health,aws,free,1,1,0,1,0,39
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,devops_engineer,medium,health,aws,free,2,1,1,0.5,0.5,72
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,devops_engineer,medium,health,aws,free,2,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,medium,health,aws,free,1,1,1,1,1,63
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,devops_engineer,medium,health,aws,free,1,1,0,1,0,37
control,old_page,WARNING,Clear Log Activities,falcosecurity/event-generator,devops_engineer,medium,health,aws,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,devops_engineer,medium,health,aws,free,1,0,0,0,0,
control,old_page,ERROR,Modify binary dirs,falcosecurity/event-generator,devops_engineer,medium,health,aws,free,1,1,0,1,0,67
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,devops_engineer,medium,health,aws,free,2,2,0,1,0,103.5
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,devops_engineer,medium,health,aws,free,2,1,0,0.5,0,81
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,devops_engineer,medium,health,aws,free,1,0,0,0,0,
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,devops_engineer,medium,health,aws,free,2,1,1,0.5,0.5,48
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,devops_engineer,medium,health,aws,free,1,0,0,0,0,
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,devops_engineer,medium,health,aws,free,1,1,0,1,0,46
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,devops_engineer,medium,health,aws,free,3,1,0,0.33333333333333331,0,2
control,old_page,ERROR,Write below monitored dir,busybox:latest,devops_engineer,medium,health,aws,free,1,1,1,1,1,94
control,old_page,ERROR,Write below root,busybox:latest,devops_engineer,medium,health,aws,free,2,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,devops_engineer,medium,health,aws,free,2,1,1,0.5,0.5,40
control,old_page,ERROR,Write below rpm database,busybox:latest,devops_engineer,medium,health,aws,free,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,falcosecurity/event-generator,platform_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,falcosecurity/event-generator,platform_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,platform_engineer,enterprise,fintech,azure,enterprise,1,1,0,1,0,28
control,old_page,ERROR,Write below etc,falcosecurity/event-generator,platform_engineer,enterprise,fintech,azure,enterprise,2,0,0,0,0,
control,old_page,ERROR,Write below rpm database,busybox:latest,platform_engineer,enterprise,fintech,azure,enterprise,3,2,1,0.66666666666666663,0.33333333333333331,55.5
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,platform_engineer,enterprise,fintech,azure,enterprise,2,1,1,0.5,0.5,63
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,devops_engineer,enterprise,fintech,azure,enterprise,2,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,devops_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,devops_engineer,enterprise,fintech,azure,enterprise,1,1,1,1,1,47
control,old_page,ERROR,Write below binary dir,falcosecurity/event-generator,security_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,security_engineer,enterprise,fintech,azure,enterprise,1,1,1,1,1,91
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,1,0,1,0,93
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,2,1,0,0.5,0,108
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,1,1,1,1,89
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,1,1,1,1,43
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,falcosecurity/event-generator,security_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,2,2,2,1,1,65.5
control,old_page,WARNING,Clear Log Activities,falcosecurity/event-generator,security_engineer,enterprise,fintech,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,security_engineer,enterprise,fintech,azure,enterprise,1,1,1,1,1,8
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,76
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,security_engineer,enterprise,fintech,azure,pro,4,3,3,0.75,0.75,43.333333333333329
control,old_page,WARNING,Delete Bash History,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,,security_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,1,0,1,0,48
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,security_engineer,enterprise,fintech,azure,pro,1,1,0,1,0,80
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,security_engineer,enterprise,fintech,azure,pro,2,1,1,0.5,0.5,58
control,old_page,ERROR,Modify binary dirs,busybox:latest,security_engineer,enterprise,fintech,azure,pro,2,1,0,0.5,0,25
control,old_page,ERROR,Read ssh information,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,98
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,40
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,security_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,2,1,0,0.5,0,29
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,2,2,2,1,1,80
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,devops_engineer,enterprise,fintech,azure,pro,2,2,2,1,1,41
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,2,1,0,0.5,0,13
control,old_page,ERROR,Write below root,falcosecurity/event-generator,devops_engineer,enterprise,fintech,azure,pro,1,1,0,1,0,5
control,old_page,WARNING,Clear Log Activities,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,2,2,1,1,0.5,72.5
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,falcosecurity/event-generator,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,56
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,WARNING,Delete or rename shell history,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,55
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,114
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
