alert_id,source_file,rule_name,event_time,description,priority,container_id,pod_name,image_name,user_name,user_loginuid,command,k8s_namespace,tags,label,raw_line
1,Attacks-Pod-4xs77.txt,Write below root,12:49:05.139105711,an attempt to write to any file directly below / or /root,ERROR,31edc9c2077e,privileged-deployment-574878fc9d-bgq7b,busybox:latest,root,0,container:31edc9c2077e k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-bgq7b container=31edc9c2077e image=busybox:latest,default,"[""filesystem"", ""mitre_persistence""]",attack,"rule= Write below root, desc= 12:49:05.139105711: an attempt to write to any file directly below / or /root, parameter=user=root user_loginuid=0 command=container:31edc9c2077e k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-bgq7b container=31edc9c2077e image=busybox:latest, priority=ERROR, container=31edc9c2077e, pod=privileged-deployment-574878fc9d-bgq7b, tag=[""filesystem"", ""mitre_persistence""], attack"
2,Attacks-Pod-4xs77.txt,Sudo Potential Privilege Escalation,21:37:06.005574289,Privilege escalation vulnerability affecting sudo (<= 1.9.5p2). Executing sudo using sudoedit -s or sudoedit -i command with command-line argument that ends with a single backslash character from an unprivileged user it's possible to elevate the user privileges to root.,CRITICAL,c6ab0e36b224,sensitive-mount-deployment-7fd6f8467-6h7d5,busybox:latest,root,0,container:c6ab0e36b224 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-6h7d5 container=c6ab0e36b224 image=busybox:latest mounts=/var/lib/kubelet/pods/a0e26c5f-fb08-462f-bd42-79b2f39c9a57/etc-hosts:/etc/hosts::true:rprivate,default,"[""filesystem"", ""mitre_privilege_escalation""]",attack,"rule= Sudo Potential Privilege Escalation, desc= 21:37:06.005574289: Privilege escalation vulnerability affecting sudo (<= 1.9.5p2). Executing sudo using sudoedit -s or sudoedit -i command with command-line argument that ends with a single backslash character from an unprivileged user it's possible to elevate the user privileges to root., parameter=user=root user_loginuid=0 command=container:c6ab0e36b224 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-6h7d5 container=c6ab0e36b224 image=busybox:latest mounts=/var/lib/kubelet/pods/a0e26c5f-fb08-462f-bd42-79b2f39c9a57/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/a0e26c5f-fb08-462f-bd42-79b2f39c9a57/containers/busybox/7b7f5483:/dev/termination-log::true:rprivate,/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/a0e26c5f-fb08-462f-bd42-79b2f39c9a57/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate, priority=CRITICAL, container=c6ab0e36b224, pod=sensitive-mount-deployment-7fd6f8467-6h7d5, tag=[""filesystem"", ""mitre_privilege_escalation""], attack"
3,Attacks-Pod-4xs77.txt,Container Drift Detected (open+create),21:18:43.250927952,New executable created in a container due to open+create,ERROR,35fa5ed82754,privileged-deployment-574878fc9d-r7hwl,busybox:latest,root,0,container:35fa5ed82754 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-r7hwl container=35fa5ed82754 image=busybox:latest,default,,attack,"rule= Container Drift Detected (open+create), desc= 21:18:43.250927952: New executable created in a container due to open+create, parameter=user=root user_loginuid=0 command=container:35fa5ed82754 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-r7hwl container=35fa5ed82754 image=busybox:latest, priority=ERROR, container=35fa5ed82754, pod=privileged-deployment-574878fc9d-r7hwl, tag=, attack"
4,Attacks-Pod-4xs77.txt,Read ssh information,08:00:18.784005323,Any attempt to read files below ssh directories by non-ssh programs,ERROR,43c0240a02ed,privileged-deployment-574878fc9d-sg2mj,busybox:latest,root,0,container:43c0240a02ed k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-sg2mj container=43c0240a02ed image=busybox:latest,default,"[""filesystem"", ""mitre_discovery""]",attack,"rule= Read ssh information, desc= 08:00:18.784005323: Any attempt to read files below ssh directories by non-ssh programs, parameter=user=root user_loginuid=0 command=container:43c0240a02ed k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-sg2mj container=43c0240a02ed image=busybox:latest, priority=ERROR, container=43c0240a02ed, pod=privileged-deployment-574878fc9d-sg2mj, tag=[""filesystem"", ""mitre_discovery""], attack"
5,Attacks-Pod-4xs77.txt,Redirect STDOUT/STDIN to Network Connection in Container,20:52:01.747547529,Detect redirecting stdout/stdin to network connection in container (potential reverse shell).,WARNING,ffbeae116461,privileged-deployment-574878fc9d-g5hnz,busybox:latest,root,-1,sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-g5hnz container=ffbeae116461 image=busybox:latest,default,,attack,"rule= Redirect STDOUT/STDIN to Network Connection in Container, desc= 20:52:01.747547529: Detect redirecting stdout/stdin to network connection in container (potential reverse shell)., parameter=user=root user_loginuid=-1 command=sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-g5hnz container=ffbeae116461 image=busybox:latest, priority=WARNING, container=ffbeae116461, pod=privileged-deployment-574878fc9d-g5hnz, tag=, attack"
6,Attacks-Pod-4xs77.txt,Modify binary dirs,05:39:54.027815314,an attempt to modify any file below a set of binary directories.,ERROR,eae9e7b104db,privileged-deployment-574878fc9d-wwkp6,busybox:latest,root,0,container:eae9e7b104db k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-wwkp6 container=eae9e7b104db image=busybox:latest,default,"[""filesystem"", ""mitre_persistence""]",attack,"rule= Modify binary dirs, desc= 05:39:54.027815314: an attempt to modify any file below a set of binary directories., parameter=user=root user_loginuid=0 command=container:eae9e7b104db k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-wwkp6 container=eae9e7b104db image=busybox:latest, priority=ERROR, container=eae9e7b104db, pod=privileged-deployment-574878fc9d-wwkp6, tag=[""filesystem"", ""mitre_persistence""], attack"
7,Attacks-Pod-4xs77.txt,Network Connection outside Local Subnet,00:01:32.566399371,Detect traffic to image outside local subnet.,WARNING,c561b8369f47,sensitive-mount-deployment-7fd6f8467-6gc99,busybox:latest,root,0,container:c561b8369f47 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-6gc99 container=c561b8369f47 image=busybox:latest mounts=/var/lib/kubelet/pods/242879f3-3a6f-4449-946a-510ea3943730/containers/busybox/0f063d2e:/dev/termination-log::true:rprivate,default,"[""network""]",attack,"rule= Network Connection outside Local Subnet, desc= 00:01:32.566399371: Detect traffic to image outside local subnet., parameter=user=root user_loginuid=0 command=container:c561b8369f47 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-6gc99 container=c561b8369f47 image=busybox:latest mounts=/var/lib/kubelet/pods/242879f3-3a6f-4449-946a-510ea3943730/containers/busybox/0f063d2e:/dev/termination-log::true:rprivate,/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/242879f3-3a6f-4449-946a-510ea3943730/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/242879f3-3a6f-4449-946a-510ea3943730/etc-hosts:/etc/hosts::true:rprivate, priority=WARNING, container=c561b8369f47, pod=sensitive-mount-deployment-7fd6f8467-6gc99, tag=[""network""], attack"
8,Attacks-Pod-4xs77.txt,Mkdir binary dirs,22:53:54.001609929,an attempt to create a directory below a set of binary directories.,ERROR,756a99c01c51,privileged-deployment-574878fc9d-pdmwg,busybox:latest,root,0,container:756a99c01c51 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-pdmwg container=756a99c01c51 image=busybox:latest,default,"[""filesystem"", ""mitre_persistence""]",attack,"rule= Mkdir binary dirs, desc= 22:53:54.001609929: an attempt to create a directory below a set of binary directories., parameter=user=root user_loginuid=0 command=container:756a99c01c51 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-pdmwg container=756a99c01c51 image=busybox:latest, priority=ERROR, container=756a99c01c51, pod=privileged-deployment-574878fc9d-pdmwg, tag=[""filesystem"", ""mitre_persistence""], attack"
9,Attacks-Pod-4xs77.txt,Write below etc,10:58:57.397445771,an attempt to write to any file below /etc,ERROR,a43f0367755e,privileged-deployment-574878fc9d-7qts4,busybox:latest,root,-1,sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-7qts4 container=a43f0367755e image=busybox:latest,default,"[""filesystem"", ""mitre_persistence""]",attack,"rule= Write below etc, desc= 10:58:57.397445771: an attempt to write to any file below /etc, parameter=user=root user_loginuid=-1 command=sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-7qts4 container=a43f0367755e image=busybox:latest, priority=ERROR, container=a43f0367755e, pod=privileged-deployment-574878fc9d-7qts4, tag=[""filesystem"", ""mitre_persistence""], attack"
10,Attacks-Pod-4xs77.txt,Sudo Potential Privilege Escalation,14:11:23.908665175,Privilege escalation vulnerability affecting sudo (<= 1.9.5p2). Executing sudo using sudoedit -s or sudoedit -i command with command-line argument that ends with a single backslash character from an unprivileged user it's possible to elevate the user privileges to root.,CRITICAL,7a21928357fa,sensitive-mount-deployment-7fd6f8467-5jjns,busybox:latest,root,0,container:7a21928357fa k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-5jjns container=7a21928357fa image=busybox:latest mounts=/etc:/host/etc::true:rprivate,default,"[""filesystem"", ""mitre_privilege_escalation""]",attack,"rule= Sudo Potential Privilege Escalation, desc= 14:11:23.908665175: Privilege escalation vulnerability affecting sudo (<= 1.9.5p2). Executing sudo using sudoedit -s or sudoedit -i command with command-line argument that ends with a single backslash character from an unprivileged user it's possible to elevate the user privileges to root., parameter=user=root user_loginuid=0 command=container:7a21928357fa k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-5jjns container=7a21928357fa image=busybox:latest mounts=/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/acbb4647-4d4a-4298-b4d2-5e1e4a892d18/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/acbb4647-4d4a-4298-b4d2-5e1e4a892d18/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/acbb4647-4d4a-4298-b4d2-5e1e4a892d18/containers/busybox/83bb3712:/dev/termination-log::true:rprivate, priority=CRITICAL, container=7a21928357fa, pod=sensitive-mount-deployment-7fd6f8467-5jjns, tag=[""filesystem"", ""mitre_privilege_escalation""], attack"
